iter	Passed	Remaining
0	1	167
1	2	138
2	4	149
3	6	145
4	7	139
5	8	140
6	11	146
7	12	149
8	14	149
9	16	147
10	17	142
11	19	140
12	20	138
13	21	134
14	23	130
15	24	129
16	26	131
17	29	133
18	30	131
19	32	128
20	33	125
21	33	120
22	34	116
23	35	113
24	37	112
25	38	110
26	39	107
27	40	104
28	41	102
29	42	100
30	43	97
31	44	94
32	45	92
33	46	90
34	47	88
35	48	85
36	49	83
37	50	81
38	51	79
39	51	77
40	52	75
41	52	73
42	53	71
43	54	69
44	55	67
45	56	65
46	57	64
47	57	62
48	58	61
49	59	59
50	60	57
51	60	56
52	61	54
53	62	52
54	62	51
55	62	49
56	63	47
57	64	46
58	64	44
59	65	43
60	65	41
61	66	40
62	66	39
63	67	37
64	67	36
65	68	35
66	69	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	75	27
73	76	26
74	78	26
75	79	25
76	81	24
77	82	23
78	83	22
79	85	21
80	86	20
81	88	19
82	89	18
83	90	17
84	91	16
85	92	15
86	93	14
87	95	12
88	96	11
89	97	10
90	98	9
91	99	8
92	100	7
93	101	6
94	102	5
95	103	4
96	104	3
97	104	2
98	105	1
99	106	0
